OBJECTID,Plant_Name,Owner,Operator,State,County,City,ZipCode,Cap_MMcfd,Plant_Flow,BTU_Content,Dry_Stor,NGL_Stor,Longitude,Latitude,Period,Source,Loc_Source,x,y
49,Bridgeport Plant,,"Enlink Midstream Services, LLC",TX,Wise,Bridgeport,76426,800,515,1170,,48415,-97.80311,33.19606,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10887392.4032,3921356.658
50,Bridwell River Ranch Gas Plant,Bridwell Oil Company,Bridwell Oil Company,TX,Clay,,,1,1,1200,,700,-98.41484,33.72994,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10955489.8753,3992596.9544
51,Brookeland Plant,ETC Field Services LLC,ETC Field Services LLC,TX,Jasper,Brookeland,75931,95,70,1165,,,-93.96112,31.06255,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10459704.0328,3640875.1186
52,Brundage Canyon Gas Plant,Berry Petroleum Company LLC,Berry Petroleum Company LLC,UT,Duchesne,N/A,,30,21,1180,,4285,-110.28999,40.05735,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12277425.5264,4874279.7284
53,Buck Peak,Peakview  Oil,"Custom Energy Construction, Inc.",CO,Moffat,Craig,81625,,,,,4619,-107.49905,40.48606,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11966739.5068,4936828.644
54,Buckeye CO2 Plant,"Chevron USA, Inc.",Chevron,NM,Lea,Lovington,88260,55,53,230,,700,-103.51008,32.78611,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11522689.3976,3866947.9353
55,Bucking Horse Gas Plant,Williams Companies,Williams,WY,Converse,Douglas,82633,120,56,1284,,,-105.46645,42.74467,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11740471.5098,5273188.4179
56,Buffalo Creek,MarkWest Oklahoma Gas Company LLC,MarkWest Oklahoma Gas Company LLC,OK,Roger Mills,Sayre,73662,200,165,1220,,,-99.8214,35.3737,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-11112067.4183,4214782.1628
57,Burns Point Gas Plant,Enterprise Gas Processing LLC,"Enterprise Gas Processing, LLC",LA,St. Mary,Franklin,70538,120,60,1070,,500,-91.53191,29.57033,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10189285.6125,3448438.4756
58,Cadiz Plant,MarkWest Liberty Midstream & Resource,MarkWest Liberty Midstream & Resources,OH,Harrison,Cadiz,43907,525,509,1184,,,-81.02597,40.25892,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9019769.7214,4903639.4739
59,California-San Joaquin Basin Onshore CA10,California Resources Corporation,Elk Hills Power LLC,CA,Kern,Tupman,93276,225,215,1220,,110000,-119.47866,35.27788,2017,"EIA-757, Natural Gas Processing Plant Survey",California Energy Commision application,-13300303.5919,4201708.3406
60,Calumet,Enable Products LLC,Enable Products LLC,OK,Canadian,Calumet,73014,250,89,1116,,5952,-98.15483,35.66683,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10926545.6945,4254874.0047
